"gene" "lasso.as.is" "lasso.log2" "lasso.asinh" "bs.as.is" "bs.log2" "bs.asinh" "rf.as.is" "rf.log2" "rf.asinh" "gene.cor"
"9" "HLF" 0.792815398034611 0.211671527181222 0.121855528150708 0.615993901640549 0.439792641642281 0.0802137968744096 1279410.71608915 59.3208828650285 25.0821371561135 0.923239404852853
"4" "STAT4" 2.72341475429458 0.0623697738514135 0.166897851955809 1.0282241967309 0.234588204818101 0.160097092018324 657266.220316393 48.3055176601564 21.2427660925218 0.904759872432978
"42" "SATB1" NA NA NA -0.508837251713678 -2.39851992609211e-06 4.71946617865888e-06 536031.868792747 21.9056028006645 11.5280329581035 0.862827041521738
"14" "SATB2" 0.117016258677564 0.208034763791515 0.235294809777627 1.11670868270244 0.000171741069185863 0.0281827718877321 414212.621109057 24.0466254404282 13.2971484778117 0.842329894349424
"23" "ATF2" NA 0.122286097547339 NA 0.966270107568695 6.846773399837e-05 0.0238358306994259 141242.778089075 3.17325593879891 3.01782565123376 0.827868568423455
"5" "FOXP2" 2.54152627094028 0.134731270518284 0.106549771122765 3.96947455990571 9.10315457072231e-05 0.217050180279892 131526.318855356 6.1324361963482 2.7998043832151 0.819617214987236
"11" "TSHZ2" 0.671265152043206 0.13560474003658 0.0891001801840359 1.03422130395772 0.246287670298727 0.096664558312943 73002.8994548459 5.66319516637918 2.88634328548297 0.77043615407174
"36" "DRGX" NA 0.00472967132438513 NA -0.027522731168744 3.28863751881569e-05 -3.87866771409482e-06 55309.0442212872 7.92138402529409 3.65913792069823 0.73094499727069
"1" "HDX" 11.1120492314725 NA NA 8.3977995602444 1.69396543323263e-05 8.48914321659493e-05 57903.6446367272 1.28433532666179 0.811235477704279 0.724190555106087
"25" "FOXJ3" NA -0.10008809347377 NA -0.0171846186057949 3.52491302429152e-05 0.263094674963179 28277.1631620829 0.517443388387874 0.244961858322315 0.719845628995463
"8" "LHX6" 1.33126830303275 0.0801452913889338 0.0981626543006901 1.94844719258948 8.22215051304729e-06 0.000614496788959445 32410.3017153766 2.28838950713537 1.54336143458671 0.714611540907396
"12" "ESRRG" 0.601156044583456 0.0111652664766269 0.000628068618690229 0.00265598236053091 1.38673522374538e-05 0.186950622577376 61068.9387842797 4.44402025154791 2.5512375715803 0.709031810437786
"29" "TSHZ3" NA 0.0158168480168479 0.109681929622036 -0.00792015196965053 0.000235621131220827 0.0285296262853521 21620.2351439493 7.49471433027721 3.52887262559707 0.705628965326444
